出口站点,日期,小时,分钟,车流量
2002,2021/5/17,15,0,1
2002,2021/5/17,15,25,1
2002,2021/5/17,15,30,1
2002,2021/5/17,15,40,1
2002,2021/5/17,16,20,1
2002,2021/5/17,16,25,1
2002,2021/5/17,16,30,2
2002,2021/5/17,16,35,1
2002,2021/5/17,17,0,1
2002,2021/5/17,17,10,1
2002,2021/5/17,17,20,2
2002,2021/5/17,17,35,1
2002,2021/5/17,17,40,2
2002,2021/5/17,17,55,1
2002,2021/5/17,18,20,1
2002,2021/5/17,18,30,1
2002,2021/5/17,18,40,1
2002,2021/5/17,19,25,2
2002,2021/5/17,20,10,1
2002,2021/5/17,20,20,1
2002,2021/5/17,20,50,1
2002,2021/5/17,20,55,1
2002,2021/5/17,21,45,1
2002,2021/5/17,21,50,1
2002,2021/5/17,22,5,1
2002,2021/5/17,23,40,1
2002,2021/5/18,1,20,1
2002,2021/5/18,4,25,1
2002,2021/5/18,6,10,3
2002,2021/5/18,6,15,1
2002,2021/5/18,7,10,1
2002,2021/5/18,7,25,2
2002,2021/5/18,7,35,1
2002,2021/5/18,7,40,4
2002,2021/5/18,7,50,2
2002,2021/5/18,7,55,1
2002,2021/5/18,8,35,1
2002,2021/5/18,9,15,2
2002,2021/5/18,10,25,2
2002,2021/5/18,10,30,1
2002,2021/5/18,10,35,2
2002,2021/5/18,10,45,2
2002,2021/5/18,10,50,1
2002,2021/5/18,10,55,2
2002,2021/5/18,11,5,1
2002,2021/5/18,11,15,2
2002,2021/5/18,11,30,1
2002,2021/5/18,11,35,1
2002,2021/5/18,12,10,1
2002,2021/5/18,12,35,1
2002,2021/5/18,12,40,2
2002,2021/5/18,12,55,2
2002,2021/5/18,13,5,1
2002,2021/5/18,13,15,1
2002,2021/5/18,13,50,2
2002,2021/5/18,14,5,1
2002,2021/5/18,15,0,2
2002,2021/5/18,15,5,3
2002,2021/5/18,15,10,1
2002,2021/5/18,15,20,1
2002,2021/5/18,15,30,1
2002,2021/5/18,15,35,1
2002,2021/5/18,15,40,4
2002,2021/5/18,15,45,1
2002,2021/5/18,15,50,1
2002,2021/5/18,15,55,1
2002,2021/5/18,16,0,3
2002,2021/5/18,16,5,2
2002,2021/5/18,16,10,2
2002,2021/5/18,16,15,1
2002,2021/5/18,16,20,4
2002,2021/5/18,16,25,2
2002,2021/5/18,16,30,2
2002,2021/5/18,16,40,1
2002,2021/5/18,16,45,1
2002,2021/5/18,16,50,1
2002,2021/5/18,16,55,4
2002,2021/5/18,17,0,3
2002,2021/5/18,17,10,2
2002,2021/5/18,17,15,1
2002,2021/5/18,17,20,4
2002,2021/5/18,17,30,2
2002,2021/5/18,17,40,1
2002,2021/5/18,17,55,1
2002,2021/5/18,18,40,1
2002,2021/5/18,19,10,1
2002,2021/5/18,19,30,1
2002,2021/5/18,19,35,1
2002,2021/5/18,20,25,1
2002,2021/5/18,21,25,3
2002,2021/5/19,2,20,1
2002,2021/5/19,5,25,1
2002,2021/5/19,5,30,1
2002,2021/5/19,5,40,1
2002,2021/5/19,6,35,1
2002,2021/5/19,6,40,1
2002,2021/5/19,7,25,1
2002,2021/5/19,7,30,1
2002,2021/5/19,7,35,1
2002,2021/5/19,7,40,4
2002,2021/5/19,7,45,2
2002,2021/5/19,7,55,1
2002,2021/5/19,8,5,1
2002,2021/5/19,8,15,1
2002,2021/5/19,8,25,1
2002,2021/5/19,8,35,1
2002,2021/5/19,8,40,2
2002,2021/5/19,8,45,2
2002,2021/5/19,9,30,1
2002,2021/5/19,9,35,2
2002,2021/5/19,9,50,1
2002,2021/5/19,10,5,1
2002,2021/5/19,10,25,1
2002,2021/5/19,10,40,2
2002,2021/5/19,11,0,1
2002,2021/5/19,11,15,1
2002,2021/5/19,11,45,1
2002,2021/5/19,12,0,1
2002,2021/5/19,12,10,1
2002,2021/5/19,12,15,2
2002,2021/5/19,12,25,1
2002,2021/5/19,12,30,1
2002,2021/5/19,12,50,1
